GEO_ID,STATE,COUNTY,NAME,STATE_COUNTY,LSAD,CENSUSAREA
0500000US37131,37,131,Northampton,Virginia Norfolk,County,536.589
0500000US42095,42,95,Northampton,Minnesota Norman,County,369.671
0500000US51131,51,131,Northampton,Alaska North Slope,County,211.612
0500000US42097,42,97,Northumberland,North Carolina Northampton,County,458.368
0500000US51133,51,133,Northumberland,Pennsylvania Northampton,County,191.295
0500000US02188,2,188,Northwest Arctic,Virginia Northampton,Borough,35572.584
0500000US51720,51,720,Norton,Northern Mariana Islands Northern Islands,city,7.481
0500000US20137,20,137,Norton,Pennsylvania Northumberland,County,878.134
0500000US51135,51,135,Nottoway,Virginia Northumberland,County,314.392
0500000US40105,40,105,Nowata,Alaska Northwest Arctic,County,565.777
0500000US28103,28,103,Noxubee,Kansas Norton,County,695.138
0500000US31129,31,129,Nuckolls,Virginia Norton,County,575.155
0500000US48355,48,355,Nueces,Virginia Nottoway,County,838.482
0500000US32023,32,23,Nye,Oklahoma Nowata,County,18181.924
0500000US19141,19,141,O'Brien,Mississippi Noxubee,County,573.035
0500000US26125,26,125,Oakland,Nebraska Nuckolls,County,867.663
0500000US47131,47,131,Obion,Texas Nueces,County,544.728
0500000US34029,34,29,Ocean,Nevada Nye,County,628.781
0500000US26127,26,127,Oceana,Iowa O'Brien,County,512.071
0500000US48357,48,357,Ochiltree,Michigan Oakland,County,917.627
0500000US13219,13,219,Oconee,Tennessee Obion,County,184.29
0500000US45073,45,73,Oconee,New Jersey Ocean,County,626.334
0500000US55083,55,83,Oconto,Michigan Oceana,County,997.988
0500000US26129,26,129,Ogemaw,Texas Ochiltree,County,563.488
0500000US17141,17,141,Ogle,Georgia Oconee,County,758.574
0500000US13221,13,221,Oglethorpe,South Carolina Oconee,County,439.012
0500000US21183,21,183,Ohio,Wisconsin Oconto,County,587.274
0500000US18115,18,115,Ohio,Michigan Ogemaw,County,86.14
0500000US54069,54,69,Ohio,South Dakota Oglala Lakota,County,105.82
0500000US12091,12,91,Okaloosa,Illinois Ogle,County,930.247
0500000US53047,53,47,Okanogan,Georgia Oglethorpe,County,5267.978
0500000US12093,12,93,Okeechobee,Indiana Ohio,County,768.908
