StateAbbr,PlaceName,PlaceFIPS,Population2010,CASTHMA_CrudePrev,CASTHMA_Crude95CI,CASTHMA_AdjPrev,CASTHMA_Adj95CI,SLEEP_CrudePrev,SLEEP_Crude95CI,SLEEP_AdjPrev,SLEEP_Adj95CI,Geolocation,UseForStateMap_GEO_ID,UseForStateMap_StateNumber,UseForStateMap_StateName,UseForStateMap_CityName
NC,Wilmington,"3774440","106,476","9.8","( 9.6, 10.0)","9.7","( 9.5,  9.8)","31.6","(31.2, 32.0)","32.4","(32.0, 32.7)","(34.21027585690, -77.8872842368)",0400000US37,"37",North Carolina,Winston-Salem
NC,Winston-Salem,"3775000","229,617","10.3","(10.2, 10.4)","10.2","(10.1, 10.3)","35.9","(35.7, 36.1)","36.2","(36.0, 36.4)","(36.10294530390, -80.2609889241)",0400000US37,"37",North Carolina,Winston-Salem
ND,Fargo,"3825700","105,549","8.5","( 8.4,  8.6)","8.3","( 8.2,  8.5)","27.3","(26.9, 27.6)","27.6","(27.2, 28.0)","(46.86524578320, -96.8289882328)",0400000US38,"38",North Dakota,Fargo
OH,Akron,"3901000","199,110","10.9","(10.8, 11.0)","10.8","(10.7, 10.9)","42.9","(42.7, 43.1)","43.4","(43.2, 43.6)","(41.08014449420, -81.5219213688)",0400000US39,"39",Ohio,Youngstown
OH,Canton,"3912000","73,007","11.2","(11.1, 11.4)","11.2","(11.1, 11.4)","42","(41.6, 42.3)","42.4","(42.1, 42.7)","(40.80801926620, -81.3676594998)",0400000US39,"39",Ohio,Youngstown
OH,Cincinnati,"3915000","296,943","11.1","(11.0, 11.2)","11","(10.9, 11.0)","42.6","(42.5, 42.8)","42.9","(42.8, 43.1)","(39.14117471240, -84.5060004524)",0400000US39,"39",Ohio,Youngstown
OH,Cleveland,"3916000","396,815","11.8","(11.8, 11.9)","11.7","(11.7, 11.8)","42.5","(42.4, 42.6)","42.6","(42.5, 42.8)","(41.47653458210, -81.6805494865)",0400000US39,"39",Ohio,Youngstown
OH,Columbus,"3918000","787,033","10.1","(10.0, 10.1)","10","( 9.9, 10.0)","39.1","(38.9, 39.2)","38.9","(38.8, 39.0)","(39.98595004840, -82.9851738516)",0400000US39,"39",Ohio,Youngstown
OH,Dayton,"3921000","141,527","11.8","(11.7, 11.9)","11.7","(11.6, 11.8)","44.7","(44.4, 45.0)","45.2","(44.9, 45.4)","(39.77976803900, -84.1997930517)",0400000US39,"39",Ohio,Youngstown
OH,Parma,"3961000","81,601","9.5","( 9.4,  9.6)","9.6","( 9.5,  9.7)","34","(33.7, 34.3)","34.8","(34.5, 35.1)","(41.38423998380, -81.7285991530)",0400000US39,"39",Ohio,Youngstown
OH,Toledo,"3977000","287,208","10.7","(10.7, 10.8)","10.7","(10.6, 10.7)","42.9","(42.8, 43.1)","43.3","(43.2, 43.5)","(41.66373996040, -83.5823818449)",0400000US39,"39",Ohio,Youngstown
OH,Youngstown,"3988000","66,982","11.5","(11.3, 11.6)","11.5","(11.4, 11.6)","45","(44.8, 45.3)","46","(45.8, 46.3)","(41.09932866070, -80.6463187081)",0400000US39,"39",Ohio,Youngstown
OK,Broken Arrow,"4009050","98,850","9.8","( 9.7,  9.9)","9.7","( 9.6,  9.8)","31.9","(31.6, 32.1)","31.5","(31.2, 31.8)","(36.03663249110, -95.7809572414)",0400000US40,"40",Oklahoma,Tulsa
OK,Edmond,"4023200","81,405","9.7","( 9.6,  9.8)","9.6","( 9.5,  9.7)","30","(29.6, 30.3)","30.2","(29.8, 30.5)","(35.66893505160, -97.4159205309)",0400000US40,"40",Oklahoma,Tulsa
OK,Lawton,"4041850","96,867","10.6","(10.4, 10.7)","10.4","(10.3, 10.5)","34.8","(34.5, 35.1)","34.9","(34.6, 35.2)","(34.61705648990, -98.4203934803)",0400000US40,"40",Oklahoma,Tulsa
OK,Norman,"4052500","110,925","9.8","( 9.7, 10.0)","9.5","( 9.4,  9.7)","33.6","(33.2, 34.0)","34","(33.7, 34.4)","(35.23350326470, -97.3470413838)",0400000US40,"40",Oklahoma,Tulsa
OK,Oklahoma City,"4055000","579,999","10.5","(10.4, 10.5)","10.4","(10.4, 10.5)","34.3","(34.2, 34.4)","34.3","(34.2, 34.4)","(35.46756428800, -97.5137615524)",0400000US40,"40",Oklahoma,Tulsa
OK,Tulsa,"4075000","391,906","10.5","(10.5, 10.6)","10.5","(10.4, 10.5)","33.9","(33.7, 34.0)","34.1","(34.0, 34.3)","(36.12842134250, -95.9036195464)",0400000US40,"40",Oklahoma,Tulsa
OR,Beaverton,"4105350","89,803","9.8","( 9.6,  9.9)","9.7","( 9.6,  9.9)","31.3","(31.0, 31.7)","31","(30.6, 31.3)","(45.47957656740, -122.814973469)",0400000US41,"41",Oregon,Salem
OR,Bend,"4105800","76,639","10.3","(10.1, 10.5)","10.3","(10.1, 10.5)","29.7","(29.2, 30.2)","29.7","(29.2, 30.2)","(44.05618271840, -121.308690416)",0400000US41,"41",Oregon,Salem
OR,Eugene,"4123850","156,185","11","(10.8, 11.1)","10.8","(10.7, 10.9)","29.9","(29.6, 30.2)","30.6","(30.3, 30.8)","(44.05593633460, -123.117327584)",0400000US41,"41",Oregon,Salem
OR,Gresham,"4131250","105,594","11","(10.9, 11.1)","10.9","(10.8, 11.1)","32.4","(32.1, 32.6)","32.3","(32.1, 32.6)","(45.50242567980, -122.441469029)",0400000US41,"41",Oregon,Salem
OR,Hillsboro,"4134100","91,611","9.8","( 9.7,  9.9)","9.8","( 9.6,  9.9)","32.1","(31.8, 32.4)","31.3","(31.0, 31.6)","(45.52902799400, -122.937442209)",0400000US41,"41",Oregon,Salem
OR,Medford,"4147000","74,907","11","(10.8, 11.2)","11.1","(10.9, 11.3)","33.7","(33.3, 34.1)","34.5","(34.2, 34.9)","(42.33719875840, -122.853625909)",0400000US41,"41",Oregon,Salem
OR,Portland,"4159000","583,776","10.2","(10.2, 10.3)","10.2","(10.1, 10.2)","30.8","(30.7, 30.9)","30.4","(30.3, 30.5)","(45.53718065400, -122.650032751)",0400000US41,"41",Oregon,Salem
OR,Salem,"4164900","154,637","10.7","(10.6, 10.9)","10.7","(10.6, 10.8)","32.6","(32.4, 32.9)","32.8","(32.5, 33.1)","(44.92327315400, -123.024867100)",0400000US41,"41",Oregon,Salem
PA,Allentown,"4202000","118,032","10.8","(10.6, 10.9)","10.7","(10.6, 10.8)","39","(38.7, 39.3)","39.4","(39.1, 39.6)","(40.59609961800, -75.4755373968)",0400000US42,"42",Pennsylvania,Scranton
PA,Bethlehem,"4206088","74,982","9.9","( 9.8, 10.1)","9.9","( 9.8, 10.0)","37.1","(36.7, 37.5)","38.3","(37.9, 38.7)","(40.62664025780, -75.3679048175)",0400000US42,"42",Pennsylvania,Scranton
PA,Erie,"4224000","101,786","11.1","(11.0, 11.2)","11","(10.9, 11.2)","42","(41.7, 42.4)","42.8","(42.5, 43.1)","(42.11646987540, -80.0730358517)",0400000US42,"42",Pennsylvania,Scranton
PA,Philadelphia,"4260000","1,526,006","11.5","(11.5, 11.6)","11.5","(11.4, 11.5)","42.2","(42.1, 42.3)","42.6","(42.6, 42.7)","(40.00931478080, -75.1333888571)",0400000US42,"42",Pennsylvania,Scranton
PA,Pittsburgh,"4261000","305,704","10","( 9.9, 10.1)","9.9","( 9.9, 10.0)","39.4","(39.2, 39.6)","40.4","(40.2, 40.5)","(40.43962974860, -79.9762614995)",0400000US42,"42",Pennsylvania,Scranton
PA,Reading,"4263624","88,082","11.1","(11.0, 11.2)","11","(10.9, 11.1)","45.3","(45.0, 45.5)","45.4","(45.2, 45.7)","(40.33996786860, -75.9266128837)",0400000US42,"42",Pennsylvania,Scranton
PA,Scranton,"4269000","76,089","10.6","(10.4, 10.8)","10.6","(10.4, 10.8)","36.3","(35.9, 36.7)","37.5","(37.1, 37.8)","(41.40437293620, -75.6649126898)",0400000US42,"42",Pennsylvania,Scranton
RI,Cranston,"4419180","80,387","11.4","(11.2, 11.6)","11.4","(11.3, 11.6)","37.8","(37.5, 38.1)","38.3","(38.0, 38.7)","(41.76580171350, -71.4861485002)",0400000US44,"44",Rhode Island,Warwick
RI,Pawtucket,"4454640","71,148","12.9","(12.8, 13.1)","12.9","(12.7, 13.1)","41.3","(41.0, 41.5)","41.4","(41.1, 41.6)","(41.87445345170, -71.3743580803)",0400000US44,"44",Rhode Island,Warwick
